# mpu9150 IMU data started at: 14:21:50 2013-05-13
# mpu9150 IMU raw data
# timestamp,ax,ay,az,gx,gy,gz,C
1368480110.250731,65410,65497,4001,30,65524,65487,23.14
1368480110.252846,65434,65475,4079,32,65477,65519,23.09
1368480110.254997,65484,65492,3998,37,65484,65504,23.05
1368480110.257117,65494,65496,3838,18,65513,65497,23.09
1368480110.259290,65465,65487,3886,17,65532,65496,23.14
1368480110.261435,65486,65509,4019,32,36,65495,23.19
1368480110.263567,65469,65504,4093,21,52,65519,23.05
1368480110.265633,65442,65491,4164,22,17,65488,23.09
1368480110.267858,65433,65461,4229,24,65498,65508,23.14
1368480110.269972,65469,65466,4166,33,65512,65489,23.09
1368480110.272079,65487,65485,4074,30,56,65495,23.24
1368480110.274207,65509,65503,4012,12,83,65495,23.19
1368480110.276382,65445,65489,3989,20,84,65498,23.14
1368480110.278466,65438,65500,4038,29,63,65500,23.09
1368480110.280622,65420,65465,3978,16,29,65490,23.14
1368480110.282975,65455,65495,3984,23,65529,65495,23.09
1368480110.284922,65475,65487,3971,29,65509,65498,23.14
1368480110.286991,65446,65508,3937,28,65488,65497,23.09
1368480110.289115,65490,65485,3973,30,65521,65487,23.05
1368480110.291250,65493,65500,3958,28,28,65506,23.09
1368480110.293426,65460,65475,4032,19,11,65489,23.05
1368480110.295510,65447,65482,4093,29,24,65519,23.19
1368480110.297639,65469,65497,4107,28,25,65495,23.14
1368480110.299818,65475,65452,4084,28,13,65515,23.19
1368480110.301908,65469,65475,4092,14,37,65503,23.14
1368480110.304016,65456,65490,4044,24,42,65506,23.19
1368480110.306141,65458,65507,4062,31,34,65498,23.14
1368480110.308271,65459,65484,4053,21,71,65500,23.19
1368480110.310469,65439,65480,4064,33,37,65502,23.14
1368480110.312562,65442,65500,4021,26,2,65505,23.19
1368480110.314705,65460,65509,3998,22,65517,65517,23.14
1368480110.316794,65456,65502,4000,23,65518,65479,23.09
1368480110.318927,65470,65472,3980,28,65521,65514,23.14
1368480110.321092,65454,65493,4025,31,65531,65497,23.19
1368480110.323163,65460,65468,4036,28,9,65512,23.05
1368480110.325335,65450,65479,4029,32,51,65499,23.19
1368480110.327490,65470,65460,4065,18,26,65503,23.14
1368480110.329576,65447,65453,4093,17,23,65492,23.28
1368480110.331714,65449,65486,4066,24,41,65502,23.24
1368480110.333877,65450,65479,4044,17,54,65502,23.19
1368480110.335948,65446,65479,4066,28,33,65493,23.14
1368480110.338100,65449,65474,4047,14,45,65514,23.09
1368480110.340209,65468,65504,4036,23,16,65493,23.14
1368480110.342349,65463,65499,4051,27,0,65504,23.09
1368480110.344512,65458,65478,4030,15,65531,65505,22.95
1368480110.346613,65461,65485,4029,26,11,65495,23.19
1368480110.348744,65464,65470,4026,26,65535,65499,23.14
1368480110.350914,65469,65466,3995,22,7,65503,23.09
1368480110.352993,65464,65479,3975,12,17,65496,23.14
1368480110.355116,65480,65493,3981,24,39,65495,23.09
1368480110.357248,65464,65459,4008,35,39,65499,23.14
1368480110.359377,65474,65494,4065,17,21,65488,23.19
1368480110.361548,65445,65499,4067,28,35,65517,23.05
1368480110.363666,65455,65479,4023,28,30,65488,23.19
1368480110.365819,65446,65491,4053,16,24,65518,23.14
1368480110.367874,65444,65473,4031,6,42,65494,23.19
1368480110.370013,65450,65472,4063,31,42,65500,23.14
1368480110.372174,65460,65479,4065,14,30,65501,23.19
1368480110.374293,65436,65483,4048,35,65533,65502,23.05
1368480110.376409,65448,65496,4037,33,11,65503,23.09
1368480110.378578,65462,65489,4004,28,2,65488,23.14
1368480110.380665,65463,65483,3978,21,20,65512,23.09
1368480110.382840,65485,65481,3968,23,18,65489,23.14
1368480110.384913,65470,65478,4025,20,25,65514,23.09
1368480110.387078,65461,65495,4004,28,26,65497,23.14
1368480110.389180,65455,65482,3997,27,36,65496,23.19
1368480110.391304,65452,65502,4036,25,33,65484,23.14
1368480110.393423,65458,65493,4026,32,22,65494,23.19
1368480110.395654,65489,65468,4003,23,20,65513,23.14
1368480110.397778,65462,65476,4026,26,26,65506,23.19
1368480110.399880,65437,65475,3989,19,29,65510,23.14
1368480110.402088,65466,65476,4052,35,27,65486,23.09
1368480110.404098,65452,65484,4026,29,13,65506,23.14
1368480110.406243,65476,65495,4014,24,10,65490,23.09
1368480110.408331,65442,65472,4046,27,15,65508,23.14
1368480110.410460,65446,65493,4050,26,15,65487,23.19
1368480110.412652,65438,65495,4046,27,26,65496,23.14
1368480110.414720,65440,65507,4036,32,11,65499,23.09
1368480110.416855,65464,65495,4044,21,26,65484,23.14
1368480110.419008,65463,65500,4026,9,35,65503,23.09
1368480110.421111,65469,65499,4038,36,16,65491,23.05
1368480110.423231,65445,65495,4032,28,13,65499,23.09
1368480110.425376,65478,65472,3996,17,38,65493,23.14
1368480110.427511,65444,65483,4036,30,30,65506,23.19
1368480110.429667,65475,65466,4040,30,24,65495,23.14
1368480110.431690,65452,65457,4009,22,23,65502,23.09
1368480110.433804,65481,65482,4004,21,8,65506,23.14
1368480110.435946,65479,65476,4030,30,12,65507,23.09
1368480110.438076,65460,65475,4037,26,13,65498,23.14
1368480110.440189,65463,65495,4028,26,8,65493,23.19
1368480110.442327,65466,65504,4013,27,28,65496,23.05
1368480110.444451,65463,65464,4044,29,23,65475,23.19
1368480110.446620,65471,65512,4033,22,14,65511,23.05
1368480110.448719,65471,65501,4022,19,21,65495,23.19
1368480110.450825,65449,65476,4048,32,28,65505,23.14
1368480110.452995,65466,65470,4019,36,23,65499,23.19
1368480110.455086,65488,65495,4012,36,10,65501,23.14
1368480110.457238,65462,65497,4074,18,17,65487,23.09
1368480110.459519,65480,65507,4003,25,17,65499,23.14
1368480110.461309,65462,65467,4035,19,34,65516,23.09
1368480110.463664,65446,65504,4056,21,13,65485,23.14
1368480110.465768,65488,65468,4026,31,19,65498,23.09
1368480110.467857,65458,65484,4004,38,17,65494,23.14
1368480110.470013,65427,65493,3985,15,28,65501,23.19
1368480110.472126,65485,65484,4010,30,23,65483,23.05
1368480110.474255,65456,65493,4015,27,3,65508,23.19
1368480110.476386,65463,65492,4019,28,18,65493,23.14
1368480110.478501,65456,65498,4042,24,37,65502,23.09
1368480110.480706,65482,65484,4036,17,19,65493,23.24
1368480110.482767,65471,65496,4016,24,30,65504,23.19
1368480110.484902,65477,65504,4039,32,20,65513,23.14
1368480110.487078,65447,65486,4058,25,12,65495,23.09
1368480110.489166,65463,65464,4056,25,29,65502,23.14
1368480110.491286,65456,65490,4011,31,20,65498,23.09
1368480110.493419,65464,65465,4059,36,16,65509,23.14
1368480110.495523,65477,65470,4031,26,31,65490,23.19
1368480110.497743,65466,65511,4054,25,13,65511,23.14
1368480110.499807,65456,65485,4019,13,12,65477,23.19
1368480110.501946,65467,65467,4003,25,11,65494,23.14
1368480110.504059,65469,65460,4001,21,17,65500,23.09
1368480110.506191,65461,65493,4002,21,17,65500,23.14
1368480110.508317,65453,65506,4049,34,21,65501,23.09
1368480110.510444,65453,65486,4040,21,13,65490,23.14
1368480110.512574,65437,65487,4030,31,20,65501,23.09
1368480110.514765,65455,65492,4051,31,8,65491,23.14
1368480110.517039,65455,65500,4013,6,7,65507,23.09
1368480110.519070,65466,65487,4008,31,20,65488,23.05
1368480110.521197,65454,65487,4000,30,19,65512,23.19
1368480110.523305,65471,65475,4001,25,12,65495,23.05
1368480110.525424,65472,65487,4026,27,23,65520,23.19
1368480110.527548,65472,65492,4031,15,19,65498,23.14
1368480110.529668,65460,65465,4022,21,17,65496,23.09
1368480110.531892,65438,65504,3975,16,25,65504,23.05
1368480110.533934,65459,65472,4012,12,18,65499,23.09
1368480110.536101,65438,65472,4045,16,13,65509,23.14
